dataset,seed,agt_time,implicit_time,td3_time,agt_speedup,implicit_speedup,agt_params,implicit_params,td3_params,agt_mem_mb,implicit_mem_mb,td3_mem_mb
Actor,4.5,267.71140427979697,153.59353037030377,328.59239442119434,1.2390412840786966,2.1464417004273537,60423.0,60423.0,468488.0,277.78408203125,565.698828125,279.93642578125
Chameleon,4.5,91.15447668790003,55.90381209009793,115.42020871600543,1.2619273393249242,2.087531013713522,149575.0,149575.0,1092552.0,209.46630859375,425.05322265625,238.696142578125
Cora,4.5,87.93911021380336,51.849652457400225,99.35136519270017,1.1298674727102616,1.917987298133287,92617.0,92617.0,693066.0,156.240478515625,304.157421875,171.539794921875
Squirrel,4.5,211.65913350910122,120.76130007060128,248.18099148690817,1.1850752925770198,2.055770695658485,134471.0,134471.0,986824.0,414.1375,855.0583984375,429.337158203125
