dataset,method,test_mean,test_std,time_mean
Actor,AGT,32.192984223365784,0.0036233992171093624,229.40155477866452
Actor,AGT-Implicit,33.26754570007324,0.006321719574181775,83.35544344167768
Actor,GRAIN-TD3,32.192984223365784,0.010896711821164277,159.39972599166018
Texas,AGT,65.76576630274454,0.07802029455627778,5.490668408349545
Texas,AGT-Implicit,68.4684713681539,0.04128447362986487,2.082702459670448
Texas,GRAIN-TD3,65.76576630274454,0.07802029455627778,4.398798791332713
