param,value,mean_acc,std_acc,is_default,dataset
alpha_h,0.5,68.4684713681539,3.370863156418552,False,Texas
alpha_h,1.0,70.27027209599814,5.838507171998445,False,Texas
alpha_h,1.5,66.66666666666666,3.370863156418552,True,Texas
alpha_h,2.0,71.17117245992026,5.553525397081518,False,Texas
alpha_h,2.5,70.27027408281961,3.8221993488064543,False,Texas
beta_d,0.1,69.36937173207602,5.096267671601873,False,Texas
beta_d,0.25,69.36936974525452,5.553527653216476,False,Texas
beta_d,0.35,69.36937173207602,3.370862625418549,True,Texas
beta_d,0.5,70.27027209599814,2.2067486340467437,False,Texas
beta_d,0.7,68.4684693813324,2.5481310260110357,False,Texas
gamma_snr,0.0,69.36937173207602,3.370862625418549,False,Texas
gamma_snr,0.15,69.36937173207602,5.096267671601873,False,Texas
gamma_snr,0.25,70.27027209599814,4.413494834743383,True,Texas
gamma_snr,0.4,66.66666666666666,5.096264861811973,False,Texas
gamma_snr,0.6,69.36936974525452,1.2740655130055178,False,Texas
alpha_h,0.5,74.50980544090271,2.772967604077251,False,Wisconsin
alpha_h,1.0,75.16340017318726,6.470257742846918,False,Wisconsin
alpha_h,1.5,75.8169949054718,3.3326922939003514,True,Wisconsin
alpha_h,2.0,73.20261597633362,0.9243225346924171,False,Wisconsin
alpha_h,2.5,76.47058963775635,4.235777981781447,False,Wisconsin
beta_d,0.1,73.85621070861816,0.9243225346924171,False,Wisconsin
beta_d,0.25,74.50980544090271,1.6009735926681126,False,Wisconsin
beta_d,0.35,73.20261597633362,1.8486450693848342,True,Wisconsin
beta_d,0.5,74.50980544090271,1.6009735926681126,False,Wisconsin
beta_d,0.7,73.20261597633362,1.8486450693848342,False,Wisconsin
gamma_snr,0.0,75.8169949054718,4.621612673462085,False,Wisconsin
gamma_snr,0.15,76.47058963775635,1.6009735926681126,False,Wisconsin
gamma_snr,0.25,73.85621070861816,2.4455275580090077,True,Wisconsin
gamma_snr,0.4,76.47058963775635,3.201947185336225,False,Wisconsin
gamma_snr,0.6,73.85621070861816,3.3326922939003514,False,Wisconsin
