variant,method,dataset,seed,test_acc,val_acc,train_time,params,peak_mem_mb
td3,GRAIN-TD3,Texas,4,0.6756756901741028,0.7457627058029175,5.2260923240100965,813896,72.35791015625
closed_form,AGT-closed,Texas,5,0.5675675868988037,0.694915235042572,3.3167508610058576,109381,49.11181640625
closed+calib,AGT,Texas,5,0.5675675868988037,0.5762711763381958,5.857388539996464,109767,49.14111328125
agt_implicit,AGT-Implicit,Texas,5,0.6756756901741028,0.7118644118309021,3.5076359040103853,109767,62.39990234375
random,RandomGranularityPolicy,Texas,5,0.5945945978164673,0.6610169410705566,3.4913922589621507,109381,49.11083984375
fixed_k2,FixedGranularityPolicy,Texas,5,0.5945945978164673,0.6610169410705566,3.244591674010735,109381,49.11083984375
td3,GRAIN-TD3,Texas,5,0.6216216087341309,0.6440678238868713,9.491832733969204,813896,82.3056640625
closed_form,AGT-closed,Texas,6,0.6486486792564392,0.6271186470985413,3.2979592609917745,109381,59.0595703125
closed+calib,AGT,Texas,6,0.5945945978164673,0.6440678238868713,5.797041227982845,109767,59.0888671875
agt_implicit,AGT-Implicit,Texas,6,0.6486486792564392,0.7288135886192322,3.5061984400381334,109767,71.97509765625
random,RandomGranularityPolicy,Texas,6,0.7027027010917664,0.7288135886192322,3.479420949006453,109381,59.05859375
fixed_k2,FixedGranularityPolicy,Texas,6,0.6216216087341309,0.6779661178588867,3.196540129953064,109381,59.05859375
td3,GRAIN-TD3,Texas,6,0.6216216087341309,0.694915235042572,10.975101237010676,813896,80.2841796875
closed_form,AGT-closed,Texas,7,0.6486486792564392,0.6779661178588867,3.861931316962,109381,40.140625
closed+calib,AGT,Texas,7,0.5675675868988037,0.6779661178588867,5.88345532794483,109767,40.169921875
agt_implicit,AGT-Implicit,Texas,7,0.6486486792564392,0.7118644118309021,3.5085040170233697,109767,53.05615234375
random,RandomGranularityPolicy,Texas,7,0.6216216087341309,0.6610169410705566,3.559771627013106,109381,40.1396484375
fixed_k2,FixedGranularityPolicy,Texas,7,0.5405405759811401,0.7118644118309021,3.3341214209795,109381,40.1396484375
td3,GRAIN-TD3,Texas,7,0.5405405759811401,0.6440678238868713,6.278415490000043,813896,73.33447265625
closed_form,AGT-closed,Texas,8,0.6756756901741028,0.6101694703102112,3.478625797026325,109381,50.08837890625
closed+calib,AGT,Texas,8,0.6756756901741028,0.6271186470985413,6.084332889993675,109767,50.11767578125
agt_implicit,AGT-Implicit,Texas,8,0.7297297716140747,0.7118644118309021,3.6073982259840705,109767,63.57421875
random,RandomGranularityPolicy,Texas,8,0.6486486792564392,0.5932203531265259,3.5514757150085643,109381,50.08740234375
fixed_k2,FixedGranularityPolicy,Texas,8,0.6486486792564392,0.5593220591545105,3.305822954978794,109381,50.08740234375
td3,GRAIN-TD3,Texas,8,0.7297297716140747,0.5932203531265259,6.9099938799627125,813896,83.2822265625
closed_form,AGT-closed,Texas,9,0.7837837934494019,0.6779661178588867,3.350523293018341,109381,60.0361328125
closed+calib,AGT,Texas,9,0.7297297716140747,0.694915235042572,5.853064292983618,109767,60.0654296875
agt_implicit,AGT-Implicit,Texas,9,0.7567567825317383,0.7457627058029175,3.5609039250412025,109767,72.95166015625
random,RandomGranularityPolicy,Texas,9,0.8108108043670654,0.7288135886192322,3.5318801109679043,109381,60.03515625
fixed_k2,FixedGranularityPolicy,Texas,9,0.7567567825317383,0.7118644118309021,3.254018863022793,109381,60.03515625
td3,GRAIN-TD3,Texas,9,0.7567567825317383,0.7118644118309021,13.414471444033552,813896,93.22998046875
