variant,test_mean,test_std,time_mean
agt_implicit,0.7666666805744171,0.03513641635202158,5.124841319594998
closed+calib,0.6725490391254425,0.04138859936046556,8.598603765404551
closed_form,0.6764706075191498,0.04644663253728995,4.967196730006253
fixed_k2,0.6843137443065643,0.04930201579508601,4.505073964502662
random,0.6901960968971252,0.05045819062806195,5.056870161090046
td3,0.6960784494876862,0.04260916350737193,9.837501466099638
